DataCode,RecType,RecDate,watershed,ppt,Comments
APT01,1,6/14/82,HQ,11,
APT01,1,6/15/82,HQ,8,
APT01,1,6/17/82,HQ,1,
APT01,1,6/21/82,HQ,12.5,
APT01,1,6/23/82,HQ,35.5,
APT01,1,6/24/82,HQ,19,
APT01,1,6/26/82,HQ,4,
APT01,1,6/27/82,HQ,3,
APT01,1,6/30/82,HQ,57,
APT01,1,7/1/82,HQ,8.5,
APT01,1,7/6/82,HQ,1,
APT01,1,7/10/82,HQ,37,
APT01,1,7/14/82,HQ,8.5,
APT01,1,7/15/82,HQ,2,
APT01,1,7/22/82,HQ,33,
APT01,1,8/4/82,HQ,14,
APT01,1,8/5/82,HQ,12,
APT01,1,8/10/82,HQ,22.5,
APT01,1,8/11/82,HQ,1,
APT01,1,8/13/82,HQ,3,
APT01,1,8/14/82,HQ,2,
APT01,1,8/20/82,HQ,1,
APT01,1,8/24/82,HQ,10,
APT01,1,8/26/82,HQ,11.5,
APT01,1,8/31/82,HQ,1,
APT01,1,9/6/82,HQ,11,
APT01,1,9/8/82,HQ,6,
APT01,1,9/9/82,HQ,9.5,
APT01,1,9/12/82,HQ,1,
APT01,1,9/13/82,HQ,1,
APT01,1,9/14/82,HQ,25.5,
APT01,1,9/17/82,HQ,31,
APT01,1,9/23/82,HQ,1,
APT01,1,10/2/82,HQ,7,
APT01,1,10/6/82,HQ,3.5,
APT01,1,10/8/82,HQ,22,
APT01,1,10/28/82,HQ,5,
APT01,1,11/10/82,HQ,1,
APT01,1,11/11/82,HQ,5.5,
APT01,1,11/18/82,HQ,1,
APT01,1,11/19/82,HQ,1,
APT01,1,11/22/82,HQ,7,
APT01,1,11/23/82,HQ,2,
APT01,1,11/25/82,HQ,2,
APT01,1,11/27/82,HQ,9.5,
APT01,1,11/28/82,HQ,7.5,
APT01,1,12/5/82,HQ,3,
APT01,1,12/14/82,HQ,5,
APT01,1,12/15/82,HQ,13.5,
APT01,1,12/24/82,HQ,15.2,
APT01,1,12/27/82,HQ,24.5,
APT01,1,12/28/82,HQ,1,
APT01,1,1/19/83,HQ,4.8,
APT01,1,1/25/83,HQ,6,
APT01,1,1/29/83,HQ,9.6,
APT01,1,1/30/83,HQ,3.3,
APT01,1,1/31/83,HQ,3.5,
APT01,1,2/1/83,HQ,12.5,
APT01,1,2/4/83,HQ,0.5,
APT01,1,2/5/83,HQ,3.5,
