,Ageneotettix deorum,Arphia simplex,Campylacantha olivacea,Eritettix simplex,Hesperotettix viridis,Hippiscus rugosus,Hypochlora alba,Melanoplus bivittatus,Melanoplus confusus,Melanoplus femurrubrum,Melanoplus keeleri,Melanoplus sanguinipes,Opeia obscura,Orphulella speciosa,Pardalophora haldemanii,Phoetaliotes nebrascensis,Syrbula admirabilis
Achillea millefolium,0,0,25,0,13,20,4,3,5,2,4,5,0,0,0,2,0
Ambrosia psilostachya,0,0,72,0,29,10,1,26,15,33,29,10,1,1,1,1,3
Amorpha canescens,0,0,0,0,13,22,1,16,20,12,12,17,0,0,0,0,0
Andropogon gerardii,1,3,0,4,0,2,0,0,0,5,1,0,22,7,1,31,1
Antennaria neglecta,0,0,0,0,3,0,6,0,0,2,3,0,0,0,0,0,0
Astragalus crassicarpus,2,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0
Baptisia bracteata,0,0,0,0,3,0,2,13,0,4,3,3,0,0,2,0,0
Bouteloua curtipendula,2,0,0,1,0,0,1,2,5,0,1,0,11,23,14,2,3
Bouteloua dactyloides,5,16,0,4,0,9,11,0,0,2,0,0,3,1,4,1,3
Bouteloua gracilis,62,4,0,65,0,63,3,3,0,1,18,3,1,6,4,1,67
Bouteloua hirsuta,2,0,0,6,2,5,0,2,0,0,3,0,6,1,2,1,7
Brickellia eupatorioides,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0
Bromus japonicus,25,30,0,4,0,50,0,6,46,30,2,5,1,4,46,24,6
Callirhoe involucrata,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Carex,2,7,0,4,0,0,0,2,5,2,1,4,1,1,2,1,1
Ceanothus cuneatus,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Chloris truncata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Cirsium undulatum,0,0,25,0,0,0,0,0,0,2,3,0,0,2,0,0,0
Dalea candida,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Dalea purpurea,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0
Dichanthelium oligosanthes,3,4,0,0,0,0,0,0,0,0,3,0,0,1,1,3,16
Dichanthelium wilcoxianum,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Eragrostis spectablis,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,0,2
Erigeron annuus,0,0,7,0,33,0,0,0,0,2,23,0,0,0,0,0,0
Euphorbia marginata,0,0,0,0,0,9,0,4,5,2,0,0,0,0,0,0,0
Euthamia graminifolia,0,0,0,0,21,0,0,0,0,2,5,4,0,0,2,0,0
Fragaria virginiana,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
Gaura parviflora,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0
Grindelia squarrosa,0,0,0,0,0,0,1,0,10,5,0,0,0,0,0,0,0
Hordeum jubatum,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0
Hordeum pusillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Hymenopappus scabiosaeus,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Koeleria macrantha,0,0,0,1,0,0,0,0,0,2,0,0,0,1,2,2,1
Lepidium,0,0,0,5,0,0,0,0,0,1,2,3,0,0,0,0,0
Lespedeza capitata,0,0,0,0,11,0,0,4,0,5,0,3,0,0,0,0,0
Linum sulcatum,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0
Lomatium foeniculaceum,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
Louisiana artemisia,1,0,3,0,5,10,95,2,42,2,15,19,3,1,1,1,0
Mimosa nuttallii,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0
Oxalis stricta,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0
Panicum virgatum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Plantago patagonica,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
Poa compressa,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1
Poa pratensis,20,77,0,5,6,32,1,67,31,12,23,44,25,31,21,1,1
Psoralea tenuiflora,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rosa arkansana,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Ruellia humilis ,0,0,18,0,0,0,0,3,30,4,1,3,0,0,1,0,0
Salvia spathacea,0,0,3,0,0,0,0,3,0,1,8,14,0,0,0,0,0
Schizachyrium scoparium,0,0,0,1,0,5,0,0,0,4,0,0,28,3,2,23,20
Solanum carolinense,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Solidago missouriensis,0,0,14,0,45,0,7,2,0,2,21,5,0,0,0,1,0
Sorghastrum nutans,0,9,0,5,0,5,0,0,20,1,1,0,0,1,2,3,6
Sporobolus compositus,0,4,0,50,0,10,0,0,0,0,0,0,1,1,2,3,6
Sporobolus heterolepis,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,0
Symphyotrichum ericoides,0,3,2,0,12,0,0,8,5,5,9,36,0,0,4,0,14
Verbascum thapsus,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Verbena stricta,0,0,2,0,0,20,0,0,10,1,3,0,0,1,0,1,0
Vernonia baldwinii,0,0,0,0,0,0,3,2,7,2,2,0,0,0,0,1,1
