,Ageneotettix deorum,Arphia sulfurea,Campylacantha olivacea,Eritettix simplex,Hesperotettix speciosus,Hesperotettix viridis,Hippiscus rugosus,Hypochlora alba,Melanoplus bivittatus,Melanoplus confusus,Melanoplus femurrubrum,Melanoplus keeleri,Melanoplus sanguinipes,Melanoplus scudderi,Opeia obscura,Orphulella speciosa,Pardalophora haldemanii,Phoetaliotes nebrascensis,Syrbula admirabilis
Achillea millefolium,0,0,0,0,0,0.014705882,0,0.009950249,0.017699115,0.049723757,0.139303483,0.03960396,0.008547009,0.035714286,0,0,0,0,0
Ambrosia psilostachya,0.034188034,0,0.815789474,0,0.52688172,0.617647059,0,0.039800995,0.212389381,0.298342541,0.308457711,0.217821782,0.188034188,0.035714286,0.016806723,0,0.013245033,0.009661836,0
Amorpha canescens,0,0,0,0,0,0,0.02484472,0.019900498,0.008849558,0.049723757,0.019900498,0.059405941,0.008547009,0,0,0,0,0,0
Amorpha fruticosa,0,0,0.00877193,0,0,0,0,0,0,0,0,0,0.008547009,0,0,0,0,0,0
Andropogon gerardii,0.004273504,0.02,0,0.02020202,0,0,0.062111801,0,0,0,0.009950249,0,0,0,0,0.106796117,0.006622517,0.270531401,0.114583333
Anemone canadensis,0,0,0,0,0,0.007352941,0,0,0,0,0,0,0,0,0,0,0,0,0
Artemisia ludoviciana,0.025641026,0,0.070175439,0,0,0.161764706,0,0.905472637,0.044247788,0.182320442,0.049751244,0.217821782,0.179487179,0.011904762,0.033613445,0,0.013245033,0.004830918,0
Aster ericoides,0.017094017,0.005,0.00877193,0,0,0.029411765,0,0,0.017699115,0.016574586,0.019900498,0.04950495,0,0.166666667,0,0,0,0,0
Astragalus caryocarpus,0.008547009,0,0,0,0,0.014705882,0,0,0.017699115,0.016574586,0.009950249,0.059405941,0.051282051,0.166666667,0,0,0,0,0
Astragalus missouriensis,0,0,0,0,0,0,0,0,0,0.027624309,0,0,0,0,0,0,0,0,0
Baptisia leucophaea,0,0,0,0,0,0.014705882,0,0.009950249,0.044247788,0,0.019900498,0.04950495,0.008547009,0.011904762,0,0,0.013245033,0,0
Bouteloua curtipendula,0.008547009,0,0,0.131313131,0,0,0,0,0.008849558,0,0,0,0,0,0.016806723,0.13592233,0,0.019323671,0.010416667
Bouteloua dactyloides,0.034188034,0.005,0,0.04040404,0,0,0.00621118,0.009950249,0,0,0,0,0,0,0.016806723,0.029126214,0.026490066,0,0.0625
Bouteloua gracilis,0.35042735,0.02,0,0.535353535,0,0,0.01242236,0.004975124,0.004424779,0,0.004975124,0.00990099,0.188034188,0.011904762,0.773109244,0.155339806,0.039735099,0.009661836,0.28125
Bouteloua hirsuta,0.11965812,0,0,0.01010101,0,0,0.037267081,0,0,0,0,0,0,0,0.025210084,0.009708738,0.013245033,0.009661836,0.03125
Bromus japonicus,0.017094017,0.14,0,0.02020202,0,0,0.347826087,0,0.026548673,0.116022099,0.029850746,0.00990099,0.008547009,0,0,0.038834951,0.026490066,0.06763285,0.010416667
Bromus tectorum,0,0,0,0,0,0,0,0,0.026548673,0,0,0,0,0,0,0,0,0,0
Carex sp.,0.042735043,0.01,0,0.01010101,0,0,0,0,0.004424779,0,0.009950249,0,0,0.011904762,0.016806723,0.009708738,0,0.009661836,0
Ceanthus ovatus,0,0,0.00877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cirsium undulatum,0,0,0,0,0,0,0,0,0,0.002762431,0.009950249,0.00990099,0.008547009,0,0,0,0,0,0
Erigeron strigosus,0,0,0,0,0,0,0,0,0,0,0.009950249,0.00990099,0,0,0,0,0,0,0
Fragaria virginiana,0,0,0,0,0,0.014705882,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0
Hordeum jubatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025210084,0.004854369,0,0,0
Koeleria cristata,0.004273504,0,0,0.01010101,0,0,0,0,0,0,0,0,0.008547009,0,0,0.009708738,0.006622517,0.009661836,0.010416667
Kuhnia eupatorioides,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0,0.035714286,0,0,0,0,0
Lepidium densiflorum,0,0,0,0.01010101,0,0,0,0,0,0,0.004975124,0.00990099,0.008547009,0,0,0,0,0,0
Lespedeza capitata,0,0,0,0,0,0,0,0,0.008849558,0,0,0,0.008547009,0,0,0,0,0,0
Linum sulcatum,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0
Lithospermum incisum,0,0,0,0,0,0,0,0,0,0,0,0.004950495,0,0,0,0,0,0,0
Oxalis stricta,0,0,0,0,0,0,0,0,0,0.016574586,0.009950249,0,0,0,0,0,0,0,0
Panicum scribnerianum,0.025641026,0.01,0,0,0.032258065,0,0,0,0,0,0,0,0,0.011904762,0,0.019417476,0.006622517,0.019323671,0.03125
Panicum virgatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004854369,0,0,0
Plantago purshii,0,0,0,0,0,0,0,0,0,0.016574586,0,0.00990099,0,0,0,0,0,0,0
Poa pratensis,0.205128205,0.73,0,0.070707071,0,0.007352941,0.322981366,0,0.486725664,0.116022099,0.228855721,0.00990099,0.299145299,0.047619048,0,0.262135922,0.754966887,0.154589372,0.041666667
Rosa arkansana,0,0,0,0,0,0,0,0,0,0.002762431,0.004975124,0,0,0,0,0,0,0,0
Ruellia ciliosa,0,0,0.00877193,0,0,0,0,0,0.008849558,0.027624309,0.009950249,0,0.008547009,0,0,0,0,0,0
Salvia azurea,0,0,0,0,0,0,0,0,0,0,0.009950249,0.01980198,0,0.047619048,0,0,0,0,0
Schizachyrium scoparium,0.102564103,0,0,0.02020202,0,0,0.161490683,0,0,0,0.009950249,0,0,0,0.042016807,0.116504854,0.026490066,0.299516908,0.135416667
Schrankia nuttallii,0,0,0,0,0,0,0,0,0,0.016574586,0,0,0,0,0,0,0,0,0
Solidago graminifolia,0,0,0,0,0,0.102941176,0,0,0,0,0,0.00990099,0,0.011904762,0,0,0,0,0
Solidago missouriensis,0,0,0.070175439,0,0.440860215,0.014705882,0,0,0.017699115,0.027624309,0.049751244,0.158415842,0.008547009,0.392857143,0,0,0,0,0
Sorghastrum nutans,0,0.03,0,0.04040404,0,0,0.02484472,0,0,0,0,0,0,0,0,0.048543689,0.026490066,0.038647343,0.15625
Sporobolus asper,0,0.03,0,0.080808081,0,0,0,0,0,0,0,0,0,0,0.016806723,0.048543689,0.026490066,0.077294686,0.114583333
Sporobolus heterolepis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016806723,0,0,0,0
Verbena stricta,0,0,0,0,0,0,0,0,0,0,0.009950249,0.00990099,0,0,0,0,0,0,0
Vernonia baldwini,0,0,0.00877193,0,0,0,0,0,0.044247788,0.016574586,0.019900498,0.00990099,0,0,0,0,0,0,0
