Watershed,Hname,Hectares,Acres,Date,Type,Year
20C,"pre-1978 1D",8.39,20.72,1972-04-23,PP,1972
R20B,1C,12.315,30.431,1972-04-23,PP,1972
1B,1B,8.26,20.4,1972-04-22,PP,1972
R20A,1A,26.332,65.068,1972-04-22,PP,1972
R20A,1A,12.43,30.715,1973-05-08,WU,1973
R1A,UA,14.414,35.617,1973-05-08,WU,1973
R1A,"pre-1978 WA",6.685,16.519,1973-05-08,WU,1973
R1A,"unassigned ",7.456,18.425,1973-05-08,WU,1973
2A,2A,16.64,41.11,1973-05-08,WU,1973
1B,"pre-1978 4A",7.02,17.35,1973-05-08,WU,1973
4A,"unassigned ",10.13,25.02,1973-05-08,WU,1973
SpA,"pre-1978 2B",1.552,3.836,1973-05-03,PP,1973
2B,2B,6.08,15.02,1973-05-03,PP,1973
1B,1B,11.07,27.36,1973-05-03,PP,1973
SuA,WC,0.869,2.148,1973-04-28,PU,1973
R20B,1C,2.32,6.43,1973-04-28,PP,1973
2C,2C,22.95,56.72,1973-04-28,"PP ",1973
SuA,"pre-1978 2D",7.568,18.701,1973-04-23,WP,1973
SuA,"pre-1978 10D",14.416,35.623,1973-04-23,WU,1973
WA,"pre-1978 4C",9.221,22.786,1973-04-23,WU,1973
WA,"unassigned ",2.378,5.877,1973-04-23,WU,1973
SuB,WC,4.107,10.148,1973-04-23,WU,1973
SuB,"unassigned ",2.369,5.853,1973-04-23,WU,1973
WB,"pre-1978 4D",11.55,28.55,1973-04-23,WU,1973
R20B,1C,10,24,1973-04-23,WP,1973
N4D,10C,2.69,6.647,1973-04-23,WU,1973
N4D,"unassigned ",4.568,11.287,1973-04-23,WU,1973
20B,"pre-1978 4C",2.62,6.47,1973-04-23,WU,1973
20B,"pre-1978 UC",6.13,15.14,1973-04-23,WU,1973
20B,unassigned,14.84,36.67,1973-04-23,WU,1973
N1B,N1B,1,2,1973-04-23,WU,1973
20C,"pre-1978 1D",5.13,12.68,1973-04-23,"PU ",1973
20C,"pre-1978 1D",0.86,2.13,1973-04-23,WU,1973
20C,"pre-1978 UD",11.28,27.88,1973-04-23,WU,1973
20C,WD,6.53,16.14,1973-04-23,WU,1973
2C,2C,9,22,1973-04-23,WP,1973
4F,"pre-1978 WC",7.01,17.32,1973-04-23,WU,1973
4F,"unassigned ",4.07,10.06,1973-04-23,WU,1973
FB,WC,11.181,27.628,1973-04-23,WU,1973
FA,"pre-1978 UC",11.089,27.402,1973-04-23,WU,1973
R20B,1C,12.315,30.431,1974-05-01,PP,1974
1B,1B,11.07,27.36,1974-04-30,PP,1974
SpB,"pre-1978 WB",14.039,34.691,1974-04-30,PP,1974
R20A,1A,26.332,65.068,1974-04-30,PP,1974
20C,"pre-1978 1D",8.39,20.73,1974-04-27,PP,1974
R20A,1A,26.332,65.068,1975-05-03,PP,1975
WA,"pre-1978 4C",9.221,22.786,1975-05-03,PP,1975
SpA,"pre-1978 4B",14.922,36.872,1975-05-03,PP,1975
R20B,1C,12.315,30.431,1975-05-03,PP,1975
20B,"pre-1978 4C",2.625,6.486,1975-05-03,PP,1975
2B,2B,1,2.46,1975-05-03,PP,1975
2A,2A,26.02,64.3,1975-05-03,PP,1975
1B,1B,12.01,29.69,1975-05-03,PP,1975
1B,"pre-1978 4A",16.41,40.55,1975-05-03,PP,1975
2C,2C,5,12.3,1975-05-03,PP,1975
4B,"pre-1978 4A",2.09,5.164,1975-05-03,PP,1975
SpA,"pre-1978 2B",1.55,3.83,1975-05-01,PP,1975
2B,2B,5.08,12.56,1975-05-01,PP,1975
2C,2C,17.95,44.42,1975-05-01,PP,1975
SuA,"pre-1978 2D",7.568,18.701,1975-04-30,PP,1975
WB,"pre-1978 4D",11.55,28.55,1975-04-30,PP,1975
20C,"pre-1978 1D",6.13,15.14,1975-04-30,PP,1975
2B,2B,1.56,3.84,1976-11-15,WU,1976
20C,"pre-1978 1D",5.97,14.75,1976-04-27,PP,1976
R20A,1A,26.332,65.068,1976-04-27,PP,1976
1B,1B,12.01,29.69,1976-04-26,PP,1976
R20B,1C,12.315,30.431,1976-04-26,PP,1976
R20A,1A,26.332,65.068,1977-04-23,PP,1977
SuA,"pre-1978 2D",7.568,18.701,1977-04-23,PP,1977
SpA,"pre-1978 2B",1.552,3.836,1977-04-23,PP,1977
R20B,1C,12.315,30.431,1977-04-23,PP,1977
20C,"pre-1978 1D",5.81,14.36,1977-04-23,PP,1977
2B,2B,6.08,15.02,1977-04-23,PP,1977
2A,2A,26.02,64.3,1977-04-23,PP,1977
1B,1B,12.01,29.69,1977-04-23,PP,1977
2C,2C,22.95,56.72,1977-04-23,PP,1977
2D,2D,48.41,119.62,1978-05-02,PP,1978
1D,1D,41.55,102.67,1978-05-02,PP,1978
20C,3B3UD,5.7,14.09,1978-05-02,PP,1978
R1B,4H,3.377,8.345,1978-05-02,PP,1978
SpB,4D,20.366,50.325,1978-04-29,PP,1978
SpB,"pre-1988 WB",15.374,37.989,1978-04-29,PP,1978
R20A,1A,26.332,65.068,1978-04-28,PP,1978
1B,1B,7.97,19.69,1978-04-27,PP,1978
1B,"pre-1988 WA",16.73,41.34,1978-04-26,PP,1978
2B,2B,6.08,15.02,1978-04-26,PP,1978
1B,1B,4.16,10.28,1978-04-25,PP,1978
FB,WC,11.181,27.628,1978-04-24,PP,1978
R20B,1C,12.315,30.431,1978-04-23,PP,1978
SpB,10B,3.014,7.447,1978-04-21,WU,1978
"Nature Trail","unassigned ",77.779,192.197,1979-04-28,PP,1979
K1A,"unassigned ",10.519,25.993,1979-04-28,PP,1979
N2A,"unassigned ",11.376,28.111,1979-04-27,PP,1979
HQA,"unassigned ",11.634,28.747,1979-04-27,PP,1979
HQB,"unassigned ",14.83,36.646,1979-04-27,PP,1979
HQC,"unassigned ",17.48,43.194,1979-04-27,PP,1979
HQD,"unassigned ",20.939,51.741,1979-04-27,PP,1979
R20A,1A,26.332,65.068,1979-04-26,PP,1979
R20B,1C,12.315,30.431,1979-04-26,PP,1979
FA,4E,11.089,27.402,1979-04-26,PP,1979
4B,4B,54.5,134.67,1979-04-26,PP,1979
20C,3B3UD,5.7,14.09,1979-04-26,PP,1979
2A,2A,27.96,69.1,1979-04-26,PP,1979
1D,1D,41.55,102.67,1979-04-26,PP,1979
1B,1B,12.01,29.69,1979-04-26,PP,1979
2C,2C,22.95,56.72,1979-04-26,PP,1979
"White Pasture","White Pasture",166.82,412.22,1979-04-24,PP,1979
C3SC,Unassigned,35.404,87.486,1979-04-24,PP,1979
4A,4A,18.84,46.56,1980-05-03,PP,1980
N4A,N4A,4,11,1980-05-03,WU,1980
R1A,3B3UA,29.124,71.966,1980-05-03,PP,1980
WB,4G,12.33,30.46,1980-05-01,PP,1980
R1A,UA,8.039,19.865,1980-04-30,WU,1980
R20A,1A,26.332,65.068,1980-04-30,PP,1980
1B,1B,7.97,19.69,1980-04-29,PP,1980
20C,UC,4.78,11.81,1980-04-29,WU,1980
R20B,1C,12.315,30.431,1980-04-29,PP,1980
SuA,10C,2.57,6.351,1980-04-29,WU,1980
SuA,3U3BC,11.8,29.17,1980-04-29,WU,1980
1B,1B,4.16,10.28,1980-04-28,PP,1980
1D,1D,41.55,102.67,1980-04-28,PP,1980
2B,2B,6.08,15.02,1980-04-28,PP,1980
20C,3B3UD,5.7,14.09,1980-04-28,PP,1980
R1B,4H,20,49,1980-04-28,PP,1980
AL,"unassigned ",12.85,31.74,1980-04-26,PP,1980
"AL - SC","unassigned ",21.13,52.2,1980-04-26,PP,1980
C1SB,"Texas Hog Pasture",69.81,172.51,1980-04-26,PP,1980
C3SC,"unassigned ",127.02,313.873,1980-04-26,PP,1980
C3SB,"unassigned ",226.27,559.124,1980-04-26,PP,1980
C3SA,"unassigned ",102.076,252.235,1980-04-26,PP,1980
C3A,"unassigned ",48.73,120.41,1980-04-26,PP,1980
C3B,"unassigned ",10,24.71,1980-04-26,PP,1980
K1A,"unassigned ",104.859,259.112,1980-04-26,PP,1980
N1A,"unassigned ",37.321,92.222,1980-04-26,PP,1980
K4A,"unassigned ",53.161,131.363,1980-04-26,PP,1980
K2A,"unassigned ",66.1,163.336,1980-04-26,PP,1980
K1B,"unassigned ",181.177,447.697,1980-04-26,PP,1980
"Nature Trail","unassigned ",95.418,235.783,1980-04-26,PP,1980
K20A,"unassigned ",83.13,205.418,1980-04-26,PP,1980
N4B,"unassigned ",56.775,140.293,1980-04-26,PP,1980
"White Pasture","White Pasture",166.82,412.22,1980-04-26,PP,1980
N20B,"unassigned ",84.364,208.467,1980-04-26,PP,1980
HQD,"unassigned ",24.372,60.224,1980-04-22,PP,1980
HQC,"unassigned ",17.48,43.194,1980-04-22,PP,1980
HQB,"unassigned ",11.379,28.117,1980-04-22,PP,1980
HQA,"unassigned ",6.762,16.708,1980-04-22,PP,1980
N2A,"unassigned ",8.32,20.558,1980-04-22,PP,1980
2D,2D,29,71,1980-03-20,WP,1980
C1A,CR3B-3U,93.78,231.73,1980-03-20,WU,1980
C3A,C4A,24,59,1980-03-20,WU,1980
C3B,C1B,75,185.33,1980-03-20,WU,1980
C3C,"unassigned ",102.956,254.409,1980-03-20,WU,1980
R1B,UD,36.42,89.996,1980-03-20,WU,1980
SuA,10C,11.8,29.17,1981-04-28,PP,1981
SuA,3U3BC,11.8,29.17,1981-04-28,PP,1981
WA,3U3BB,11.623,28.72,1981-04-28,PP,1981
R20B,1C,12.315,30.431,1981-04-28,PP,1981
1D,1D,41.55,102.67,1981-04-28,PP,1981
4F,4F,16.37,40.44,1981-04-28,PP,1981
2C,2C,22.95,56.72,1981-04-28,PP,1981
R20A,1A,26.332,65.068,1981-04-25,PP,1981
SpA,10A,24.537,60.631,1981-04-25,PP,1981
SpA,4C,8.818,21.791,1981-04-25,PP,1981
2A,2A,27.96,69.1,1981-04-25,PP,1981
1B,1B,12.01,29.69,1981-04-23,PP,1981
1B,1B,12.01,29.69,1982-04-22,PP,1982
R20B,1C,12.315,30.431,1982-04-22,PP,1982
"Nature Trail","unassigned ",54.727,135.234,1982-04-22,PP,1982
SpB,4D,20.366,50.325,1982-04-22,PP,1982
WA,3U3BB,11.623,28.72,1982-04-22,PP,1982
R20A,1A,26.332,65.068,1982-04-22,PP,1982
2D,2D,48.41,119.62,1982-04-21,PP,1982
1D,1D,41.55,102.67,1982-04-21,PP,1982
2B,2B,6.08,15.02,1982-04-21,PP,1982
R1B,4H,3.377,8.345,1982-04-21,PP,1982
SuA,3U3BC,11.8,29.17,1982-04-21,PP,1982
"White Pasture","White Pasture",166.82,412.22,1983-04-30,PP,1983
"Nature Trail","unassigned ",55.97,138.305,1983-04-30,PP,1983
C1A,CR3B-3U,3.08,7.6,1983-04-30,WU,1983
K1A,K1A,2.54,6.276,1983-04-30,PP,1983
C3C,C1A,1.653,4.084,1983-04-30,WU,1983
C3B,CUA,5.164,12.762,1983-04-30,WU,1983
C3A,CUA,8,20,1983-04-30,WU,1983
C3SC,"unassigned ",59.478,146.973,1983-04-30,PP,1983
SuA,3U3BC,11.8,29.17,1983-04-29,PP,1983
SpB,"pre-1988 WB",15.374,37.989,1983-04-29,PP,1983
FB,WC,11.181,27.628,1983-04-29,PP,1983
HQB,"unassigned ",3.79,9.365,1983-04-26,PP,1983
C3SB,"unassigned ",1.266,3.129,1983-04-21,PP,1983
R20A,1A,26.332,65.068,1983-04-20,PP,1983
2A,2A,27.96,69.1,1983-04-20,PP,1983
1D,1D,41.55,102.67,1983-04-20,PP,1983
1B,"pre-1988 WA",23.88,59,1983-04-20,PP,1983
1B,1B,12.01,29.69,1983-04-20,PP,1983
4B,4B,54.5,134.67,1983-04-20,PP,1983
WA,3U3BB,11.623,28.72,1983-04-18,PP,1983
R20B,1C,12.315,30.431,1983-04-18,PP,1983
2C,2C,22.95,56.72,1983-04-18,PP,1983
FA,4E,11.089,27.402,1983-04-18,PP,1983
AL,"unassigned ",1.316,3.251,1983-03-14,PP,1983
C3B,C1B,1,1,1984-09-23,WU,1984
HQB,"unassigned ",6.808,16.823,1984-05-04,PP,1984
1B,1B,12.01,29.69,1984-04-28,PP,1984
2B,2B,6.08,15.02,1984-04-28,PP,1984
N1A,N1A,34,84,1984-04-28,PP,1984
R20A,1A,26.332,65.068,1984-04-28,PP,1984
2D,2D,48.41,119.62,1984-04-19,PP,1984
1D,1D,41.55,102.67,1984-04-19,PP,1984
20C,3B3UD,5.7,14.09,1984-04-19,PP,1984
R20B,1C,12.315,30.431,1984-04-19,PP,1984
N1A,N1A,60,148,1984-04-19,PP,1984
WB,4G,12.33,30.46,1984-04-19,PP,1984
4A,4A,18.84,46.56,1984-04-18,PP,1984
R1A,3B3UA,29.124,71.966,1984-04-18,PP,1984
