"","x"
"1","0030216-260623161305970"
"2","0030284-260623161305970"
"3","0030327-260623161305970"
"4","0030373-260623161305970"
"5","0030431-260623161305970"
"6","0030487-260623161305970"
"7","0030538-260623161305970"
"8","0030595-260623161305970"
"9","0030645-260623161305970"
"10","0032425-260623161305970"
"11","0032482-260623161305970"
"12","0036289-260623161305970"
"13","0036445-260623161305970"
"14","0036554-260623161305970"
"15","0036666-260623161305970"
"16","0036743-260623161305970"
"17","0036831-260623161305970"
"18","0036990-260623161305970"
"19","0037079-260623161305970"
"20","0037159-260623161305970"
"21","0037279-260623161305970"
"22","0037391-260623161305970"
"23","0037766-260623161305970"
"24","0037840-260623161305970"
"25","0037876-260623161305970"
"26","0037899-260623161305970"
"27","0037914-260623161305970"
"28","0037923-260623161305970"
"29","0037929-260623161305970"
"30","0037943-260623161305970"
"31","0037956-260623161305970"
"32","0037967-260623161305970"
"33","0037981-260623161305970"
"34","0037989-260623161305970"
"35","0037994-260623161305970"
"36","0038002-260623161305970"
"37","0038016-260623161305970"
"38","0038025-260623161305970"
"39","0038038-260623161305970"
"40","0038053-260623161305970"
"41","0038065-260623161305970"
"42","0038071-260623161305970"
"43","0038081-260623161305970"
"44","0038095-260623161305970"
"45","0038189-260623161305970"
"46","0038198-260623161305970"
"47","0038203-260623161305970"
"48","0038214-260623161305970"
"49","0038227-260623161305970"
"50","0038236-260623161305970"
"51","0038244-260623161305970"
"52","0038251-260623161305970"
"53","0038256-260623161305970"
"54","0038263-260623161305970"
"55","0038269-260623161305970"
"56","0038276-260623161305970"
"57","0038286-260623161305970"
"58","0038291-260623161305970"
"59","0038296-260623161305970"
"60","0038300-260623161305970"
"61","0038304-260623161305970"
"62","0038308-260623161305970"
"63","0038310-260623161305970"
"64","0038316-260623161305970"
"65","0038321-260623161305970"
"66","0038324-260623161305970"
"67","0038330-260623161305970"
"68","0038333-260623161305970"
"69","0038338-260623161305970"
"70","0038341-260623161305970"
"71","0038367-260623161305970"
"72","0038370-260623161305970"
"73","0038376-260623161305970"
"74","0038382-260623161305970"
"75","0038384-260623161305970"
"76","0038393-260623161305970"
"77","0038399-260623161305970"
"78","0038404-260623161305970"
"79","0038408-260623161305970"
"80","0038411-260623161305970"
"81","0038417-260623161305970"
"82","0038420-260623161305970"
"83","0038423-260623161305970"
"84","0038428-260623161305970"
"85","0038436-260623161305970"
"86","0038442-260623161305970"
"87","0038474-260623161305970"
"88","0038506-260623161305970"
"89","0038511-260623161305970"
"90","0038518-260623161305970"
"91","0038523-260623161305970"
"92","0038526-260623161305970"
"93","0038531-260623161305970"
"94","0038536-260623161305970"
"95","0038539-260623161305970"
"96","0038544-260623161305970"
"97","0038550-260623161305970"
"98","0038556-260623161305970"
"99","0038606-260623161305970"
"100","0038610-260623161305970"
"101","0038652-260623161305970"
"102","0038656-260623161305970"
"103","0038659-260623161305970"
"104","0038687-260623161305970"
"105","0038690-260623161305970"
"106","0038694-260623161305970"
"107","0038698-260623161305970"
"108","0038702-260623161305970"
"109","0038705-260623161305970"
"110","0038711-260623161305970"
"111","0038714-260623161305970"
"112","0038720-260623161305970"
"113","0038723-260623161305970"
"114","0038728-260623161305970"
"115","0038733-260623161305970"
"116","0038737-260623161305970"
"117","0038768-260623161305970"
"118","0038771-260623161305970"
"119","0038778-260623161305970"
"120","0038784-260623161305970"
"121","0038788-260623161305970"
"122","0038793-260623161305970"
"123","0038798-260623161305970"
"124","0038804-260623161305970"
"125","0038812-260623161305970"
"126","0038817-260623161305970"
"127","0038826-260623161305970"
"128","0038833-260623161305970"
"129","0038842-260623161305970"
"130","0038850-260623161305970"
"131","0038855-260623161305970"
"132","0038862-260623161305970"
"133","0038869-260623161305970"
"134","0038875-260623161305970"
"135","0038883-260623161305970"
"136","0038889-260623161305970"
"137","0038897-260623161305970"
"138","0038903-260623161305970"
"139","0038965-260623161305970"
"140","0039046-260623161305970"
"141","0039057-260623161305970"
"142","0039066-260623161305970"
"143","0039081-260623161305970"
"144","0039097-260623161305970"
"145","0039109-260623161305970"
"146","0039121-260623161305970"
"147","0039141-260623161305970"
"148","0039293-260623161305970"
"149","0000062-260715120105164"
"150","0000068-260715120105164"
"151","0000074-260715120105164"
"152","0000083-260715120105164"
"153","0000094-260715120105164"
"154","0000110-260715120105164"
"155","0000243-260715120105164"
"156","0000347-260715120105164"
"157","0000444-260715120105164"
"158","0000538-260715120105164"
"159","0000795-260715120105164"
"160","0000841-260715120105164"
"161","0000879-260715120105164"
"162","0000883-260715120105164"
"163","0000914-260715120105164"
"164","0000916-260715120105164"
"165","0000921-260715120105164"
"166","0000954-260715120105164"
"167","0000958-260715120105164"
"168","0000965-260715120105164"
"169","0000968-260715120105164"
"170","0000973-260715120105164"
"171","0000979-260715120105164"
"172","0001013-260715120105164"
"173","0001046-260715120105164"
"174","0001109-260715120105164"
"175","0001116-260715120105164"
"176","0001126-260715120105164"
"177","0001188-260715120105164"
"178","0001192-260715120105164"
"179","0001196-260715120105164"
"180","0001200-260715120105164"
"181","0001240-260715120105164"
"182","0001246-260715120105164"
"183","0001250-260715120105164"
"184","0001303-260715120105164"
"185","0001307-260715120105164"
"186","0001315-260715120105164"
"187","0001322-260715120105164"
"188","0001330-260715120105164"
"189","0001353-260715120105164"
"190","0001355-260715120105164"
"191","0001375-260715120105164"
"192","0001380-260715120105164"
"193","0001412-260715120105164"
"194","0001416-260715120105164"
"195","0001420-260715120105164"
"196","0001425-260715120105164"
"197","0001428-260715120105164"
"198","0001433-260715120105164"
"199","0001435-260715120105164"
"200","0001438-260715120105164"
"201","0001443-260715120105164"
"202","0001471-260715120105164"
"203","0001480-260715120105164"
"204","0001481-260715120105164"
"205","0001485-260715120105164"
"206","0001487-260715120105164"
"207","0001489-260715120105164"
"208","0001490-260715120105164"
"209","0001505-260715120105164"
"210","0001511-260715120105164"
"211","0001536-260715120105164"
"212","0001538-260715120105164"
"213","0001542-260715120105164"
"214","0001543-260715120105164"
"215","0001547-260715120105164"
"216","0001551-260715120105164"
"217","0001556-260715120105164"
"218","0001558-260715120105164"
"219","0001563-260715120105164"
"220","0001566-260715120105164"
"221","0001567-260715120105164"
"222","0001570-260715120105164"
"223","0001593-260715120105164"
"224","0001596-260715120105164"
"225","0001600-260715120105164"
"226","0001602-260715120105164"
"227","0001605-260715120105164"
"228","0001614-260715120105164"
"229","0001620-260715120105164"
"230","0001624-260715120105164"
"231","0001633-260715120105164"
"232","0001638-260715120105164"
"233","0001643-260715120105164"
"234","0001647-260715120105164"
"235","0001659-260715120105164"
"236","0001664-260715120105164"
"237","0001704-260715120105164"
"238","0001708-260715120105164"
"239","0001712-260715120105164"
"240","0001715-260715120105164"
"241","0001717-260715120105164"
"242","0001722-260715120105164"
"243","0001724-260715120105164"
"244","0001725-260715120105164"
"245","0001731-260715120105164"
"246","0001734-260715120105164"
"247","0001738-260715120105164"
"248","0001741-260715120105164"
"249","0001746-260715120105164"
"250","0001751-260715120105164"
"251","0001776-260715120105164"
"252","0001785-260715120105164"
"253","0001791-260715120105164"
"254","0001796-260715120105164"
"255","0001798-260715120105164"
"256","0001803-260715120105164"
"257","0001805-260715120105164"
"258","0001808-260715120105164"
"259","0001844-260715120105164"
"260","0001865-260715120105164"
"261","0001870-260715120105164"
"262","0001873-260715120105164"
"263","0001914-260715120105164"
"264","0001915-260715120105164"
"265","0001916-260715120105164"
"266","0001917-260715120105164"
"267","0001924-260715120105164"
"268","0001925-260715120105164"
"269","0001928-260715120105164"
"270","0001930-260715120105164"
"271","0001931-260715120105164"
"272","0001935-260715120105164"
"273","0001939-260715120105164"
"274","0001969-260715120105164"
"275","0001971-260715120105164"
"276","0001988-260715120105164"
"277","0001989-260715120105164"
"278","0001992-260715120105164"
"279","0001994-260715120105164"
"280","0001996-260715120105164"
"281","0001998-260715120105164"
"282","0002000-260715120105164"
"283","0002003-260715120105164"
"284","0002006-260715120105164"
"285","0002014-260715120105164"
"286","0002015-260715120105164"
"287","0002019-260715120105164"
"288","0002021-260715120105164"
"289","0002043-260715120105164"
"290","0002047-260715120105164"
"291","0002051-260715120105164"
"292","0002055-260715120105164"
"293","0002058-260715120105164"
"294","0002064-260715120105164"
"295","0002070-260715120105164"
"296","0002073-260715120105164"
"297","0002353-260715120105164"
"298","0002488-260715120105164"
"299","0002553-260715120105164"
"300","0002612-260715120105164"
"301","0004194-260715120105164"
"302","0004195-260715120105164"
"303","0004197-260715120105164"
"304","0004198-260715120105164"
"305","0004200-260715120105164"
"306","0004203-260715120105164"
"307","0004215-260715120105164"
"308","0004216-260715120105164"
"309","0004217-260715120105164"
"310","0004219-260715120105164"
"311","0004224-260715120105164"
"312","0004238-260715120105164"
"313","0004241-260715120105164"
"314","0004243-260715120105164"
"315","0004244-260715120105164"
"316","0004247-260715120105164"
"317","0004248-260715120105164"
"318","0004265-260715120105164"
"319","0004266-260715120105164"
"320","0004267-260715120105164"
"321","0004269-260715120105164"
"322","0004275-260715120105164"
"323","0004278-260715120105164"
"324","0004281-260715120105164"
"325","0004283-260715120105164"
"326","0004285-260715120105164"
"327","0004287-260715120105164"
"328","0004289-260715120105164"
"329","0004291-260715120105164"
"330","0004293-260715120105164"
"331","0004297-260715120105164"
"332","0004300-260715120105164"
"333","0004304-260715120105164"
"334","0004307-260715120105164"
"335","0004310-260715120105164"
"336","0004314-260715120105164"
"337","0004316-260715120105164"
"338","0004321-260715120105164"
"339","0004324-260715120105164"
"340","0004325-260715120105164"
"341","0004327-260715120105164"
