"","x"
"1","Pascopyrum smithii"
"2","Andropogon gerardii"
"3","Schizachyrium scoparium"
"4","Bouteloua curtipendula"
"5","Bouteloua gracilis"
"6","Bouteloua hirsuta"
"7","Bouteloua dactyloides"
"8","Chloris verticillata"
"9","Elymus canadensis"
"10","Elymus virginicus"
"11","Eragrostis spectabilis"
"12","Koeleria macrantha"
"13","Muhlenbergia cuspidata"
"14","Dichanthelium oligosanthes"
"15","Panicum virgatum"
"16","Dichanthelium ovale"
"17","Poa pratensis"
"18","Sorghastrum nutans"
"19","Spartina pectinata"
"20","Sphenopholis obtusata"
"21","Sporobolus compositus"
"22","Sporobolus cryptandrus"
"23","Sporobolus heterolepis"
"24","Aristida oligantha"
"25","Bromus arvensis"
"26","Bromus tectorum"
"27","Vulpia octoflora"
"28","Hordeum pusillum"
"29","Panicum capillare"
"30","Schedonnardus paniculatus"
"31","Carex brevior"
"32","Carex gravida"
"33","Carex inops"
"34","Carex meadii"
"35","Carex blanda"
"36","Cyperus lupulinus"
"37","Cyperus x mesochorus"
"38","Eleocharis compressa"
"39","Eleocharis erythropoda"
"40","Amorpha canescens"
"41","Ceanothus herbaceus"
"42","Rosa arkansana"
"43","Symphoricarpos orbiculatus"
"44","Achillea millefolium"
"45","Allium canadense"
"46","Ambrosia psilostachya"
"47","Androsace occidentalis"
"48","Anemone caroliniana"
"49","Antennaria neglecta"
"50","Apocynum cannabinum"
"51","Argemone polyanthemos"
"52","Artemisia ludoviciana"
"53","Asclepias stenophylla"
"54","Asclepias verticillata"
"55","Asclepias viridis"
"56","Asclepias tuberosa"
"57","Symphyotrichum ericoides"
"58","Symphyotrichum oblongifolium"
"59","Symphyotrichum sericeum"
"60","Astragalus crassicarpus"
"61","Astragalus lotiflorus"
"62","Astragalus plattensis"
"63","Astragalus canadensis"
"64","Baptisia australis"
"65","Baptisia bracteata"
"66","Arnoglossum plantagineum"
"67","Callirhoe alcaeoides"
"68","Callirhoe involucrata"
"69","Cirsium undulatum"
"70","Conyza canadensis"
"71","Croton monanthogynus"
"72","Delphinium carolinianum"
"73","Descurainia pinnata"
"74","Draba reptans"
"75","Echinacea angustifolia"
"76","Erigeron strigosus"
"77","Euphorbia marginata"
"78","Euphorbia spathulata"
"79","Euphorbia glyptosperma"
"80","Geranium carolinianum"
"81","Hedeoma hispida"
"82","Hieracium longipilum"
"83","Hybanthus verticillatus"
"84","Hymenopappus scabiosaeus"
"85","Brickellia eupatorioides"
"86","Lactuca serriola"
"87","Lathyrus polymorphus"
"88","Lepidium densiflorum"
"89","Lespedeza capitata"
"90","Liatris punctata"
"91","Linum sulcatum"
"92","Lithospermum incisum"
"93","Lomatium foeniculaceum"
"94","Nothocalais cuspidata"
"95","Coryphantha missouriensis"
"96","Oenothera macrocarpa"
"97","Oenothera speciosa"
"98","Oenothera biennis"
"99","Opuntia macrorhiza"
"100","Oxalis stricta"
"101","Oxalis violacea"
"102","Penstemon cobaea"
"103","Penstemon grandiflorus"
"104","Dalea candida"
"105","Dalea multiflora"
"106","Dalea purpurea"
"107","Lactuca saligna"
"108","Physalis pumila"
"109","Physalis virginiana"
"110","Crataegus mollis"
"111","Plantago rhodosperma"
"112","Polygala verticillata"
"113","Pediomelum esculentum"
"114","Pediomelum tenuiflorum"
"115","Ratibida columnifera"
"116","Rudbeckia hirta"
"117","Ruellia humilis"
"118","Salvia azurea"
"119","Mimosa quadrivalvis"
"120","Packera plattensis"
"121","Silene antirrhina"
"122","Sisyrinchium campestre"
"123","Solanum carolinense"
"124","Solidago altissima"
"125","Solidago missouriensis"
"126","Solidago mollis"
"127","Solidago rigida"
"128","Solidago speciosa"
"129","Spermolepis inermis"
"130","Tradescantia bracteata"
"131","Tragia betonicifolia"
"132","Tragopogon dubius"
"133","Triodanis leptocarpa"
"134","Triodanis perfoliata"
"135","Glandularia bipinnatifida"
"136","Verbena stricta"
"137","Vernonia baldwinii"
"138","Viola bicolor"
"139","Galium aparine"
"140","Lespedeza violacea"
"141","Pediomelum argophyllum"
"142","Desmodium illinoense"
"143","Juncus interior"
"144","Viola pedatifida"
"145","Prunus americana"
"146","Scutellaria parvula"
"147","Agrostis hyemalis"
"148","Kummerowia stipulacea"
"149","Asclepias viridiflora"
"150","Ageratina altissima"
"151","Comandra umbellata"
"152","Agalinis aspera"
"153","Acalypha virginica"
"154","Myosotis verna"
"155","Ulmus americana"
"156","Parietaria pensylvanica"
"157","Ambrosia trifida"
"158","Asclepias syriaca"
"159","Taraxacum officinale"
"160","Medicago lupulina"
"161","Cornus drummondii"
"162","Chenopodium album"
"163","Dichanthelium linearifolium"
"164","Digitaria cognata"
"165","Capsella bursa-pastoris"
"166","Strophostyles leiosperma"
"167","Euphorbia corollata"
"168","Oenothera curtiflora"
"169","Toxicoscordion nuttallii"
"170","Lithospermum occidentale"
"171","Rumex crispus"
"172","Bromus inermis"
"173","Prunella vulgaris"
"174","Teucrium canadense"
"175","Equisetum laevigatum"
"176","Lotus corniculatus"
"177","Grindelia squarrosa"
"178","Rumex altissimus"
"179","Calystegia macounii"
"180","Melilotus officinalis"
"181","Verbascum blattaria"
"182","Tripsacum dactyloides"
"183","Setaria pumila"
"184","Lycopus americanus"
"185","Cynanchum laeve"
"186","Euphorbia dentata"
"187","Physalis heterophylla"
"188","Digitaria sanguinalis"
"189","Heliopsis helianthoides"
"190","Carduus nutans"
"191","Nepeta cataria"
"192","Gleditsia triacanthos"
"193","Celtis occidentalis"
"194","Silphium integrifolium"
"195","Mirabilis nyctaginea"
"196","Cyperus odoratus"
"197","Acalypha ostryifolia"
"198","Polygonum ramosissimum"
"199","Viola nephrophylla"
"200","Solanum rostratum"
"201","Setaria viridis"
"202","Ambrosia artemisiifolia"
"203","Amaranthus tuberculatus"
"204","Amaranthus retroflexus"
"205","Cucurbita foetidissima"
"206","Amaranthus blitoides"
"207","Euphorbia serpens"
"208","Helianthus annuus"
"209","Tridens flavus"
"210","Parthenocissus quinquefolia"
"211","Fallopia scandens"
"212","Sporobolus vaginiflorus"
"213","Rosa blanda"
"214","Stenaria nigricans"
"215","Glandularia canadensis"
"216","Mentzelia oligosperma"
"217","Euphorbia stictospora"
"218","Vicia americana"
"219","Mirabilis albida"
"220","Hopia obtusa"
"221","Sambucus canadensis"
"222","Toxicodendron radicans"
"223","Menispermum canadense"
"224","Plantago virginica"
"225","Rhus glabra"
"226","Rorippa sinuata"
"227","Hordeum jubatum"
"228","Carex brachyglossa"
"229","Juncus dudleyi"
"230","Amorpha fruticosa"
"231","Morus rubra"
"232","Juncus torreyi"
"233","Scirpus atrovirens"
"234","Chenopodium berlandieri"
"235","Lythrum alatum"
"236","Euphorbia spp."
"237","Mirabilis linearis"
"238","Polanisia dodecandra"
"239","Monarda fistulosa"
"240","Trichostema brachiatum"
"241","Acalypha monococca"
"242","Proboscidea louisianica"
"243","Monarda citriodora"
"244","Zizia aurea"
"245","Torilis arvensis"
"246","Rhus aromatica"
"247","Arisaema dracontium"
"248","Asclepias sullivantii"
"249","Krigia cespitosa"
"250","Sonchus asper"
"251","Xanthium strumarium"
"252","Symphyotrichum lanceolatum"
"253","Helianthus petiolaris"
"254","Dyssodia papposa"
"255","Lactuca canadensis"
"256","Conyza ramosissima"
"257","Silphium laciniatum"
"258","Cynoglossum officinale"
"259","Hackelia virginiana"
"260","Rorippa nasturtium-aquaticum"
"261","Erysimum repandum"
"262","Rorippa palustris"
"263","Lobelia cardinalis"
"264","Campanula americana"
"265","Cannabis sativa"
"266","Triosteum perfoliatum"
"267","Silene stellata"
"268","Euonymus atropurpureus"
"269","Chenopodium simplex"
"270","Chenopodium pallescens"
"271","Kochia scoparia"
"272","Commelina erecta"
"273","Convolvulus arvensis"
"274","Penthorum sedoides"
"275","Juniperus virginiana"
"276","Alopecurus carolinianus"
"277","Carex hystericina"
"278","Schoenoplectus tabernaemontani"
"279","Scirpus pendulus"
"280","Cyperus acuminatus"
"281","Euphorbia prostrata"
"282","Euphorbia nutans"
"283","Euphorbia missurica"
"284","Euphorbia cyathophora"
"285","Croton capitatus"
"286","Quercus muehlenbergii"
"287","Quercus macrocarpa"
"288","Hypericum perforatum"
"289","Aesculus glabra"
"290","Sisyrinchium angustifolium"
"291","Carya cordiformis"
"292","Juglans nigra"
"293","Agastache nepetoides"
"294","Mentha canadensis"
"295","Salvia reflexa"
"296","Stachys palustris"
"297","Leonurus cardiaca"
"298","Yucca glauca"
"299","Gymnocladus dioicus"
"300","Crotalaria sagittalis"
"301","Glycyrrhiza lepidota"
"302","Desmodium glutinosum"
"303","Desmanthus illinoensis"
"304","Senna marilandica"
"305","Chamaecrista fasciculata"
"306","Cercis canadensis"
"307","Abutilon theophrasti"
"308","Hibiscus trionum"
"309","Malvastrum angustum"
"310","Morus alba"
"311","Fraxinus pennsylvanica"
"312","Oenothera serrulata"
"313","Oenothera villosa"
"314","Spiranthes vernalis"
"315","Polygonum tenue"
"316","Phryma leptostachya"
"317","Phytolacca americana"
"318","Plantago rugelii"
"319","Plantago aristata"
"320","Plantago patagonica"
"321","Platanus occidentalis"
"322","Muhlenbergia racemosa"
"323","Muhlenbergia frondosa"
"324","Aristida purpurea"
"325","Cenchrus longispinus"
"326","Erythranthe geyeri"
"327","Leucospora multifida"
"328","Bacopa rotundifolia"
"329","Ribes missouriense"
"330","Salix exigua"
"331","Salix nigra"
"332","Salix amygdaloides"
"333","Populus deltoides"
"334","Zanthoxylum americanum"
"335","Galium circaezans"
"336","Geum canadense"
"337","Fragaria virginiana"
"338","Prunus angustifolia"
"339","Prunus pumila"
"340","Rubus pensilvanicus"
"341","Smilax tamnoides"
"342","Clematis pitcheri"
"343","Thalictrum dasycarpum"
"344","Argyrochosma dealbata"
"345","Pellaea glabella"
"346","Woodsia obtusa"
"347","Polygonum achoreum"
"348","Persicaria lapathifolia"
"349","Persicaria pensylvanica"
"350","Persicaria maculosa"
"351","Persicaria punctata"
"352","Hesperostipa spartea"
"353","Sitanion hystrix"
"354","Glyceria striata"
"355","Leersia oryzoides"
"356","Elymus villosus"
"357","Paspalum setaceum"
"358","Echinochloa crus-galli"
"359","Verbena bracteata"
"360","Verbena urticifolia"
"361","Tilia americana"
"362","Typha latifolia"
"363","Solanum ptycanthum"
"364","Physalis pubescens"
"365","Veronica anagallis-aquatica"
"366","Verbascum thapsus"
"367","Scrophularia lanceolata"
"368","Liatris aspera"
"369","Tribulus terrestris"
"370","Vitis riparia"
"371","Botrychium virginianum"
"372","Ruellia strepens"
"373","Acer negundo"
"374","Asimina triloba"
"375","Chaerophyllum procumbens"
"376","Sanicula canadensis"
"377","Arctium minus"
"378","Symphyotrichum drummondii"
"379","Symphyotrichum laeve"
"380","Symphyotrichum subulatum"
"381","Bidens bipinnata"
"382","Bidens cernua"
"383","Bidens frondosa"
"384","Bidens polylepis"
"385","Heterotheca canescens"
"386","Cirsium altissimum"
"387","Cirsium vulgare"
"388","Erigeron philadelphicus"
"389","Eupatorium altissimum"
"390","Helianthus tuberosus"
"391","Liatris mucronata"
"392","Verbesina alternifolia"
"393","Ostrya virginiana"
"394","Buglossoides arvensis"
"395","Lithospermum canescens"
"396","Alliaria petiolata"
"397","Camelina microcarpa"
"398","Cardamine concatenata"
"399","Draba cuneifolia"
"400","Hesperis matronalis"
"401","Thlaspi arvense"
"402","Lobelia siphilitica"
"403","Dianthus armeria"
"404","Celastrus scandens"
"405","Chenopodium standleyanum"
"406","Monolepis nuttalliana"
"407","Evolvulus nuttallianus"
"408","Ipomoea hederacea"
"409","Sicyos angulatus"
"410","Cuscuta glomerata"
"411","Astragalus missouriensis"
"412","Desmodium paniculatum"
"413","Desmodium sessilifolium"
"414","Corydalis micrantha"
"415","Dicentra cucullaria"
"416","Ellisia nyctelea"
"417","Ammannia coccinea"
"418","Sida spinosa"
"419","Maclura pomifera"
"420","Oenothera glaucifolia"
"421","Phlox divaricata"
"422","Persicaria amphibia"
"423","Portulaca oleracea"
"424","Lysimachia ciliata"
"425","Ranunculus abortivus"
"426","Prunus virginiana"
"427","Penstemon tubiflorus"
"428","Agalinis densiflora"
"429","Veronica peregrina"
"430","Urtica dioica"
"431","Phyla lanceolata"
"432","Verbena hastata"
"433","Alisma subcordatum"
"434","Sagittaria latifolia"
"435","Tradescantia ohiensis"
"436","Allium stellatum"
"437","Asparagus officinalis"
"438","Erythronium albidum"
"439","Najas guadalupensis"
"440","Agrostis stolonifera"
"441","Bothriochloa bladhii"
"442","Eriochloa contracta"
"443","Phleum pratense"
"444","Potamogeton foliosus"
"445","Potamogeton nodosus"
"446","Potamogeton pusillus"
"447","Veronica agrestis"
"448","Strophostyles helvola"
"449","Lactuca ludoviciana"
"450","Triticum aestivum"
"451","Gaillardia pulchella"
"452","Erigeron annuus"
"453","Trifolium repens"
"454","Helianthus pauciflorus"
"455","Ophioglossum vulgatum"
"456","Poa compressa"
"457","Potentilla simplex"
"458","Chaerophyllum tainturieri"
"459","Desmodium canescens"
"460","Chrysanthemum leucanthemum"
"461","Rubus occidentalis"
"462","Scrophularia marilandica"
"463","Lamium amplexicaule"
"464","Ulmus rubra"
"465","Robinia pseudo-acacia"
"466","Bothriochloa ischaemum"
"467","Helianthus maximilianii"
"468","Asclepias lanuginosa"
"469","Securigera varia"
"470","Erechtites hieraciifolia"
"471","Carex austrina"
"472","Pseudognaphalium obtusifolium"
"473","Amphiachyris dracunculoides"
"474","Symphyotrichum pilosum"
"475","Euphorbia maculata"
"476","Veronica arvensis"
"477","Arenaria serpyllifolia"
"478","Euphorbia davidii"
"479","Solidago gigantea"
"480","Cuscuta indecora"
"481","Eragrostis cilianensis"
"482","Cuscuta coryli"
"483","Polygonum aviculare"
"484","Physalis missouriensis"
"485","Solidago canadensis"
"486","Oxalis dillenii"
"487","Taraxacum erythrospermum"
"488","Pyrus calleryana"
"489","Solidago petiolaris"
"490","Physalis longifolia"
"491","Lepidium virginicum"
"492","Draba brachycarpa"
"493","Lonicera maackii"
"494","Carex bicknellii"
"495","Tragia ramosa"
"496","Ampelopsis cordata"
"497","Lespedeza x manniana"
"498","Desmodium perplexum"
"499","Viola missouriensis"
"500","Carex grisea"
"501","Lespedeza cuneata"
"502","Asclepias asperula"
"503","Setaria faberi"
"504","Dichanthelium wilcoxianum"
"505","Ulmus pumila"
"506","Vitis vulpina"
"507","Persicaria hydropiperoides"
"508","Carex oligocarpa"
"509","Viola sororia"
"510","Rubus flagellaris"
"511","Leersia virginica"
"512","Persicaria virginiana"
"513","Dichanthelium leibergii"
"514","Malus baccata"
