"","V1","V2"
"1","Pascopyrum smithii",0.000685118710962318
"2","Andropogon gerardii",0.00111257681388244
"3","Schizachyrium scoparium",0.00106942535855209
"4","Bouteloua curtipendula",0.0022660344472847
"5","Bouteloua gracilis",0.000802118997423144
"6","Bouteloua hirsuta",0.00068249185308821
"7","Bouteloua dactyloides",0.000470947371999223
"8","Chloris verticillata",0.000614358008658742
"9","Elymus canadensis",0.00128109354652962
"10","Elymus virginicus",0.000892562668714849
"11","Eragrostis spectabilis",0.000727179378966623
"12","Koeleria macrantha",0.00106475102298516
"13","Muhlenbergia cuspidata",0.000491936041965328
"14","Dichanthelium oligosanthes",0.000951134332214024
"15","Panicum virgatum",0.00126308521558647
"16","Dichanthelium ovale",0.000518335007181077
"17","Poa pratensis",0.0117214320184037
"18","Sorghastrum nutans",0.000901046343811059
"19","Spartina pectinata",0.000961656181820374
"20","Sphenopholis obtusata",0.00105875700702388
"21","Sporobolus compositus",0.0007766647348868
"22","Sporobolus cryptandrus",0.0011404472132949
"23","Sporobolus heterolepis",0.000378318370272646
"24","Aristida oligantha",0.000808424973157834
"25","Bromus arvensis",0.00237186594138188
"26","Bromus tectorum",0.00134571504817984
"27","Vulpia octoflora",0.00110491321367542
"28","Hordeum pusillum",0.000752048863041796
"29","Panicum capillare",0.00161359929872034
"30","Schedonnardus paniculatus",0.000329038866586216
"31","Carex brevior",0.00103169279885483
"32","Carex gravida",0.000407056135071806
"33","Carex inops",0.000564854014724351
"34","Carex meadii",0.000271707834537748
"35","Carex blanda",0.000522188974185426
"36","Cyperus lupulinus",0.000470670573884044
"37","Cyperus x mesochorus",0.000293519343248024
"38","Eleocharis compressa",0.000750126388124949
"39","Eleocharis erythropoda",0.00125129712143087
"40","Amorpha canescens",0.000278322335486803
"41","Ceanothus herbaceus",0.000449491847744524
"42","Rosa arkansana",0.000480385402840355
"43","Symphoricarpos orbiculatus",0.000499582157202138
"44","Achillea millefolium",0.00655626170759487
"45","Allium canadense",0.000533944622002479
"46","Ambrosia psilostachya",0.0010354490727488
"47","Androsace occidentalis",0.000579174623186396
"48","Anemone caroliniana",0.00017662632905659
"49","Antennaria neglecta",0.00127766660703111
"50","Apocynum cannabinum",0.001578814166346
"51","Argemone polyanthemos",0.000223648678803766
"52","Artemisia ludoviciana",0.00157392414130457
"53","Asclepias stenophylla",0.000142025255020152
"54","Asclepias verticillata",0.000606799969446266
"55","Asclepias viridis",0.000207939086345803
